class,species,tt_key,match_route
Amphibia,Alcalus tasanae,Ingerana tasanae,iucn_binomial
Amphibia,Amolops adicola,,
Amphibia,Amolops afghanus,Amolops afghanus,direct
Amphibia,Amolops albispinus,,
Amphibia,Amolops aniqiaoensis,Amolops aniqiaoensis,direct
Amphibia,Amolops bellulus,Amolops bellulus,direct
Amphibia,Amolops chunganensis,Amolops chunganensis,direct
Amphibia,Amolops daiyunensis,Amolops daiyunensis,direct
Amphibia,Amolops formosus,Amolops formosus,direct
Amphibia,Amolops gerbillus,Amolops gerbillus,direct
Amphibia,Amolops granulosus,Amolops granulosus,direct
Amphibia,Amolops hainanensis,Amolops hainanensis,direct
Amphibia,Amolops himalayanus,Amolops himalayanus,direct
Amphibia,Amolops jaunsari,Amolops jaunsari,direct
Amphibia,Amolops jinjiangensis,Amolops jinjiangensis,direct
Amphibia,Amolops kaulbacki,Amolops kaulbacki,direct
Amphibia,Amolops lifanensis,Amolops lifanensis,direct
Amphibia,Amolops loloensis,Amolops loloensis,direct
Amphibia,Amolops longimanus,Amolops longimanus,direct
Amphibia,Amolops mantzorum,Amolops mantzorum,direct
Amphibia,Amolops marmoratus,Amolops marmoratus,direct
Amphibia,Amolops medogensis,Amolops medogensis,direct
Amphibia,Amolops nyingchiensis,,
Amphibia,Amolops ricketti,Amolops ricketti,direct
Amphibia,Amolops sinensis,,
Amphibia,Amolops splendissimus,Amolops splendissimus,direct
Amphibia,Amolops torrentis,Amolops torrentis,direct
Amphibia,Amolops tuberodepressus,Amolops tuberodepressus,direct
Amphibia,Amolops viridimaculatus,Amolops viridimaculatus,direct
Amphibia,Amolops vitreus,Amolops vitreus,direct
Amphibia,Amolops wuyiensis,Amolops wuyiensis,direct
Amphibia,Amolops xinduqiao,,
Amphibia,Amolops yatseni,,
Amphibia,Amolops yunkaiensis,,
Amphibia,Batrachuperus karlschmidti,Batrachuperus karlschmidti,direct
Amphibia,Batrachuperus londongensis,Batrachuperus londongensis,direct
Amphibia,Batrachuperus pinchonii,Batrachuperus pinchonii,direct
Amphibia,Batrachuperus tibetanus,Batrachuperus tibetanus,direct
Amphibia,Bombina fortinuptialis,Bombina fortinuptialis,direct
Amphibia,Bombina lichuanensis,Bombina lichuanensis,direct
Amphibia,Bombina maxima,Bombina maxima,direct
Amphibia,Bombina microdeladigitora,Bombina microdeladigitora,direct
Amphibia,Bombina orientalis,Bombina orientalis,direct
Amphibia,Buergeria choui,,
Amphibia,Buergeria japonica,Buergeria japonica,direct
Amphibia,Buergeria otai,,
Amphibia,Buergeria oxycephala,Buergeria oxycephala,direct
Amphibia,Buergeria robusta,Buergeria robusta,direct
Amphibia,Bufo ailaoanus,Bufo ailaoanus,direct
Amphibia,Bufo aspinius,Bufo aspinius,direct
Amphibia,Bufo bankorensis,Bufo bankorensis,direct
Amphibia,Bufo bufo,Bufo bufo,direct
Amphibia,Bufo cryptotympanicus,Bufo cryptotympanicus,direct
Amphibia,Bufo gargarizans,Bufo gargarizans,direct
Amphibia,Bufo pageoti,Bufo pageoti,direct
Amphibia,Bufo stejnegeri,Bufo stejnegeri,direct
Amphibia,Bufo tuberculatus,Bufo tuberculatus,direct
Amphibia,Bufo tuberospinius,Bufo tuberospinius,direct
Amphibia,Bufotes pewzowi,Bufotes pewzowi,direct
Amphibia,Bufotes pseudoraddei,Bufotes pseudoraddei,direct
Amphibia,Chirixalus doriae,Chiromantis doriae,iucn_binomial
Amphibia,Chirixalus nongkhorensis,Chiromantis nongkhorensis,iucn_binomial
Amphibia,Clinotarsus alticola,Clinotarsus alticola,direct
Amphibia,Dryophytes immaculatus,Hyla immaculata,iucn_binomial
Amphibia,Dryophytes japonicus,Hyla japonica,iucn_binomial
Amphibia,Duttaphrynus himalayanus,Duttaphrynus himalayanus,direct
Amphibia,Duttaphrynus melanostictus,Duttaphrynus melanostictus,direct
Amphibia,Duttaphrynus stuarti,Duttaphrynus stuarti,direct
Amphibia,Echinotriton andersoni,Echinotriton andersoni,direct
Amphibia,Echinotriton chinhaiensis,Echinotriton chinhaiensis,direct
Amphibia,Euphlyctis adolfi,,
Amphibia,Euphlyctis cyanophlyctis,Euphlyctis cyanophlyctis,direct
Amphibia,Feihyla fuhua,Feihyla fuhua,direct
Amphibia,Fejervarya cancrivora,Fejervarya cancrivora,direct
